,property_type,seller,status,rate per sqft,price,area,location,RERA
175,2 BHK Apartment in V2 Holdings Skywalk,Ncorp Infra Pvt Ltd,Under Construction,"6,000 / sq ft", 74.16 L,1236 ,Banashankari,approval by RERA
176,2 BHK Apartment in V2 Holdings Skywalk,Ncorp Infra Pvt Ltd,Under Construction,"6,000 / sq ft", 74.16 L,1236 ,Banashankari,approval by RERA
177,3 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 91.37 L,1310 ,Bannerghatta,not approval by RERA
178,1 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 42.54 L,610 ,Bannerghatta,not approval by RERA
179,2 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 71.84 L,1030 ,Bannerghatta,not approval by RERA
180,2 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 71.49 L,1025 ,Bannerghatta,not approval by RERA
181,3 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 99.74 L,1430 ,Bannerghatta,not approval by RERA
182,3 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 95.2 L,1365 ,Bannerghatta,not approval by RERA
183,2 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 69.4 L,995 ,Bannerghatta,not approval by RERA
184,2 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 75.33 L,1080 ,Bannerghatta,not approval by RERA
185,2 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 68.7 L,985 ,Bannerghatta,not approval by RERA
186,3 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 98.69 L,1415 ,Bannerghatta,not approval by RERA
187,3 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 94.16 L,1350 ,Bannerghatta,not approval by RERA
188,3 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 89.62 L,1285 ,Bannerghatta,not approval by RERA
189,2 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 71.14 L,1020 ,Bannerghatta,not approval by RERA
190,2 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 68 L,975 ,Bannerghatta,not approval by RERA
191,3 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,975 / sq ft", 97.65 L,1400 ,Bannerghatta,not approval by RERA
192,2 BHK Apartment in Devagiri Emeralds,Devagiri Promoters,Ready to move,"6,033 / sq ft", 81.45 L,1350 ,Uttarahalli,not approval by RERA
193,2 BHK Apartment in Devagiri Emeralds,Devagiri Promoters,Ready to move,"6,033 / sq ft", 81.45 L,1350 ,Uttarahalli,not approval by RERA
194,2 BHK Apartment in Devagiri Emeralds,Devagiri Promoters,Ready to move,"6,060 / sq ft", 75.75 L,1250 ,Uttarahalli,not approval by RERA
195,2 BHK Apartment in Devagiri Emeralds,Devagiri Promoters,Ready to move,"6,060 / sq ft", 75.75 L,1250 ,Uttarahalli,not approval by RERA
196,3 BHK Apartment in Devagiri Emeralds,Devagiri Promoters,Ready to move,"5,967 / sq ft", 1 Cr,1685 ,Uttarahalli,not approval by RERA
197,3 BHK Apartment in Devagiri Emeralds,Devagiri Promoters,Ready to move,"5,967 / sq ft", 1 Cr,1685 ,Uttarahalli,not approval by RERA
198,3 BHK Apartment in Devagiri Emeralds,Devagiri Promoters,Ready to move,"5,995 / sq ft", 91.42 L,1525 ,Uttarahalli,not approval by RERA
199,3 BHK Apartment in Devagiri Emeralds,Devagiri Promoters,Ready to move,"5,995 / sq ft", 91.42 L,1525 ,Uttarahalli,not approval by RERA
200,2 BHK Apartment in Devagiri Emeralds,Devagiri Promoters,Ready to move,"6,096 / sq ft", 69.19 L,1135 ,Uttarahalli,not approval by RERA
201,2 BHK Apartment in Devagiri Emeralds,Devagiri Promoters,Ready to move,"6,096 / sq ft", 69.19 L,1135 ,Uttarahalli,not approval by RERA
202,2 BHK Apartment in Provident Too Good Homes,Provident Housing Limited,Under Construction,"6,170 / sq ft", 56.27 L,912 ,Jakkur,approval by RERA
203,3 BHK Apartment in Bavisha Grey Stone,Bavisha Homes Private Limited,Under Construction,"4,300 / sq ft", 52.67 L,1225 ,Sarjapur,approval by RERA
204,3 BHK Apartment in Bavisha Grey Stone,Bavisha Homes Private Limited,Under Construction,"4,300 / sq ft", 54.09 L,1258 ,Sarjapur,approval by RERA
205,2 BHK Apartment in Bavisha Grey Stone,Bavisha Homes Private Limited,Under Construction,"4,300 / sq ft", 39.17 L,911 ,Sarjapur,approval by RERA
206,1 BHK Apartment in Bavisha Grey Stone,Bavisha Homes Private Limited,Under Construction,"4,300 / sq ft", 21.67 L,504 ,Sarjapur,approval by RERA
207,2 BHK Apartment in Bavisha Grey Stone,Bavisha Homes Private Limited,Under Construction,"4,300 / sq ft", 35.64 L,829 ,Sarjapur,approval by RERA
208,2 BHK Apartment in Bavisha Grey Stone,Bavisha Homes Private Limited,Under Construction,"4,300 / sq ft", 34.91 L,812 ,Sarjapur,approval by RERA
209,2 BHK Apartment in Formist The Formist Treehouse,Formist Reality Pvt Ltd,Ready to move,"5,900 / sq ft", 81.77 L,1386 ,Thanisandra,not approval by RERA
210,2 BHK Apartment in Formist The Formist Treehouse,Formist Reality Pvt Ltd,Ready to move,"5,900 / sq ft", 69.91 L,1185 ,Thanisandra,not approval by RERA
211,3 BHK Apartment in Formist The Formist Treehouse,Formist Reality Pvt Ltd,Ready to move,"5,900 / sq ft", 89.44 L,1516 ,Thanisandra,not approval by RERA
212,3 BHK Apartment in Formist The Formist Treehouse,Formist Reality Pvt Ltd,Ready to move,"5,900 / sq ft", 95.81 L,1624 ,Thanisandra,not approval by RERA
213,2 BHK Apartment in Formist The Formist Treehouse,Formist Reality Pvt Ltd,Ready to move,"5,900 / sq ft", 80.47 L,1364 ,Thanisandra,not approval by RERA
214,3 BHK Apartment in Formist The Formist Treehouse,Formist Reality Pvt Ltd,Ready to move,"5,900 / sq ft", 86.73 L,1470 ,Thanisandra,not approval by RERA
215,3 BHK Apartment in Formist The Formist Treehouse,Formist Reality Pvt Ltd,Ready to move,"5,900 / sq ft", 98.82 L,1675 ,Thanisandra,not approval by RERA
216,2 BHK Apartment in Formist The Formist Treehouse,Formist Reality Pvt Ltd,Ready to move,"5,900 / sq ft", 79.06 L,1340 ,Thanisandra,not approval by RERA
217,2 BHK Apartment in Formist The Formist Treehouse,Formist Reality Pvt Ltd,Ready to move,"5,900 / sq ft", 67.2 L,1139 ,Thanisandra,not approval by RERA
218,3 BHK Apartment in Formist The Formist Treehouse,Formist Reality Pvt Ltd,Ready to move,"5,900 / sq ft", 87.26 L,1479 ,Thanisandra,not approval by RERA
219,3 BHK Apartment in Formist The Formist Treehouse,Formist Reality Pvt Ltd,Ready to move,"5,900 / sq ft", 1.03 Cr,1747 ,Thanisandra,not approval by RERA
220,1 BHK Apartment in Shellton Godrej Park Retreat,Shellton Group,Under Construction,"7,500 / sq ft", 45 L,600 ,Chikkanayakanahalli at Off Sarjapur,approval by RERA
221,2 BHK Apartment in Shellton Godrej Park Retreat,Shellton Group,Under Construction,"7,568 / sq ft", 75 L,991 ,Chikkanayakanahalli at Off Sarjapur,approval by RERA
222,3 BHK Apartment in Shellton Godrej Park Retreat,Shellton Group,Under Construction,"7,083 / sq ft", 85 L,1200 ,Chikkanayakanahalli at Off Sarjapur,approval by RERA
223,3 BHK Apartment in Shellton Godrej Park Retreat,Shellton Group,Under Construction,"6,923 / sq ft", 90 L,1300 ,Chikkanayakanahalli at Off Sarjapur,approval by RERA
224,1 BHK Apartment in Shellton Prestige Eden Park The Prestige City,Shellton Group,Under Construction,"6,307 / sq ft", 42 L,666 ,Volagerekallahalli,approval by RERA
225,2 BHK Apartment in Shellton Prestige Eden Park The Prestige City,Shellton Group,Under Construction,"5,984 / sq ft", 56.49 L,944 ,Volagerekallahalli,approval by RERA
226,2 BHK Apartment in Shellton Prestige Eden Park The Prestige City,Shellton Group,Under Construction,"5,988 / sq ft", 58.33 L,974 ,Volagerekallahalli,approval by RERA
227,1 BHK Apartment in Shellton Prestige Eden Park The Prestige City,Shellton Group,Under Construction,"6,307 / sq ft", 39.99 L,634 ,Volagerekallahalli,approval by RERA
228,1 BHK Apartment in Provident Capella,Provident Housing Limited,Under Construction,"7,981 / sq ft", 45.49 L,570 ,Whitefield Hope Farm Junction,approval by RERA
229,2 BHK Apartment in Provident Capella,Provident Housing Limited,Under Construction,"5,882 / sq ft", 65.29 L,1110 ,Whitefield Hope Farm Junction,approval by RERA
230,2 BHK Apartment in Provident Capella,Provident Housing Limited,Under Construction,"6,340 / sq ft", 55.79 L,880 ,Whitefield Hope Farm Junction,approval by RERA
231,3 BHK Apartment in Provident Equinox 2,Provident Housing Limited,Under Construction,"8,447 / sq ft", 65.29 L,773 ,Kumbalgodu,approval by RERA
232,2 BHK Apartment in Provident Equinox 2,Provident Housing Limited,Under Construction,"8,748 / sq ft", 54.5 L,623 ,Kumbalgodu,approval by RERA
233,2 BHK Apartment in Eswar Vanamali,Eswar Constructions,Under Construction,"5,000 / sq ft", 55.75 L,1115 ,Narayanapura on Hennur Main Road,approval by RERA
234,2 BHK Apartment in Eswar Vanamali,Eswar Constructions,Under Construction,"5,000 / sq ft", 56.5 L,1130 ,Narayanapura on Hennur Main Road,approval by RERA
235,1 BHK Apartment in Eswar Vanamali,Eswar Constructions,Under Construction,"5,000 / sq ft", 35 L,700 ,Narayanapura on Hennur Main Road,approval by RERA
236,3 BHK Villa in Puravankara Sparkling Springs The Sound Of Water,Puravankara Limited,Under Construction,"14,583 / sq ft", 3.49 Cr,2400 ,Bannerghatta,approval by RERA
237,3 BHK Villa in Puravankara Sparkling Springs The Sound Of Water,Puravankara Limited,Under Construction,"23,333 / sq ft", 3.49 Cr,1500 ,Bannerghatta,approval by RERA
238,2 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"7,557 / sq ft", 1.03 Cr,1373 ,Brookefield,approval by RERA
239,3 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,850 / sq ft", 1.12 Cr,1639 ,Brookefield,approval by RERA
240,3 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,553 / sq ft", 1.07 Cr,1640 ,Brookefield,approval by RERA
241,2 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,909 / sq ft", 95.62 L,1384 ,Brookefield,approval by RERA
242,1 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"7,261 / sq ft", 53.36 L,735 ,Brookefield,approval by RERA
243,3 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,848 / sq ft", 1.12 Cr,1649 ,Brookefield,approval by RERA
244,1 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"7,264 / sq ft", 53.17 L,732 ,Brookefield,approval by RERA
245,1 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"7,202 / sq ft", 57.4 L,797 ,Brookefield,approval by RERA
246,2 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,917 / sq ft", 93.86 L,1357 ,Brookefield,approval by RERA
247,3 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,852 / sq ft", 1.11 Cr,1629 ,Brookefield,approval by RERA
248,2 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,957 / sq ft", 85.85 L,1234 ,Brookefield,approval by RERA
249,3 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,851 / sq ft", 1.11 Cr,1633 ,Brookefield,approval by RERA
250,2 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,953 / sq ft", 94.84 L,1364 ,Brookefield,approval by RERA
251,1 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"7,209 / sq ft", 56.88 L,789 ,Brookefield,approval by RERA
252,2 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,967 / sq ft", 84.1 L,1207 ,Brookefield,approval by RERA
253,3 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,887 / sq ft", 1.01 Cr,1480 ,Brookefield,approval by RERA
254,2 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,928 / sq ft", 91.58 L,1322 ,Brookefield,approval by RERA
255,3 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,892 / sq ft", 1.1 Cr,1596 ,Brookefield,approval by RERA
256,2 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,925 / sq ft", 92.1 L,1330 ,Brookefield,approval by RERA
257,2 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,975 / sq ft", 82.79 L,1187 ,Brookefield,approval by RERA
258,1 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"7,172 / sq ft", 59.74 L,833 ,Brookefield,approval by RERA
259,2 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,935 / sq ft", 90.09 L,1299 ,Brookefield,approval by RERA
260,1 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"7,130 / sq ft", 63.46 L,890 ,Brookefield,approval by RERA
261,2 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,907 / sq ft", 96.14 L,1392 ,Brookefield,approval by RERA
262,2 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"6,912 / sq ft", 96.14 L,1391 ,Brookefield,approval by RERA
263,2 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"7,501 / sq ft", 95.26 L,1270 ,Brookefield,approval by RERA
264,1 BHK Apartment in Raja Ritz Avenue,Raja Housing,Under Construction,"7,251 / sq ft", 53.95 L,744 ,Brookefield,approval by RERA
265,2 BHK Apartment in MR MRG Bliss,MR Group,Under Construction,"5,102 / sq ft", 57.14 L,1120 ,Singasandra,approval by RERA
266,3 BHK Apartment in MR MRG Bliss,MR Group,Under Construction,"5,027 / sq ft", 74.15 L,1475 ,Singasandra,approval by RERA
267,3 BHK Apartment in MR MRG Bliss,MR Group,Under Construction,"4,990 / sq ft", 87.08 L,1745 ,Singasandra,approval by RERA
268,2 BHK Apartment in MR MRG Bliss,MR Group,Under Construction,"5,065 / sq ft", 64.33 L,1270 ,Singasandra,approval by RERA
269,3 BHK Apartment in MR MRG Bliss,MR Group,Under Construction,"5,013 / sq ft", 78.46 L,1565 ,Singasandra,approval by RERA
270,2 BHK Apartment in MR MRG Bliss,MR Group,Under Construction,"5,097 / sq ft", 58.1 L,1140 ,Singasandra,approval by RERA
271,2 BHK Apartment in MR MRG Bliss,MR Group,Under Construction,"5,085 / sq ft", 60.26 L,1185 ,Singasandra,approval by RERA
272,3 BHK Apartment in MR MRG Bliss,MR Group,Under Construction,"5,000 / sq ft", 83.01 L,1660 ,Singasandra,approval by RERA
273,3 BHK Apartment in SBR Pravanika,SBR Group,Under Construction,"6,172 / sq ft", 89.67 L,1453 ,Budigere Cross,approval by RERA
274,2 BHK Apartment in SBR Pravanika,SBR Group,Under Construction,"6,287 / sq ft", 69.28 L,1102 ,Budigere Cross,approval by RERA
275,3 BHK Apartment in SBR Pravanika,SBR Group,Under Construction,"6,203 / sq ft", 82.88 L,1336 ,Budigere Cross,approval by RERA
276,3 BHK Apartment in SBR Pravanika,SBR Group,Under Construction,"6,138 / sq ft", 98.27 L,1601 ,Budigere Cross,approval by RERA
277,3 BHK Apartment in Navarathan The Elegant Habitat,seller,Under Construction,"5,500 / sq ft", 94.32 L,1715 ,Nagarbhavi,approval by RERA
278,3 BHK Apartment in Navarathan The Elegant Habitat,seller,Under Construction,"5,500 / sq ft", 94.6 L,1720 ,Nagarbhavi,approval by RERA
279,3 BHK Apartment in Navarathan The Elegant Habitat,seller,Under Construction,"5,500 / sq ft", 1 Cr,1825 ,Nagarbhavi,approval by RERA
280,3 BHK Apartment in Navarathan The Elegant Habitat,seller,Under Construction,"5,500 / sq ft", 94.87 L,1725 ,Nagarbhavi,approval by RERA
281,2 BHK Apartment in Shravanthi Prima,SHRAVANTHI SHELTERS,Under Construction,"6,944 / sq ft", 78.12 L,1125 ,Bilekahalli,approval by RERA
282,3 BHK Apartment in Shravanthi Prima,SHRAVANTHI SHELTERS,Under Construction,"6,849 / sq ft", 1.05 Cr,1533 ,Bilekahalli,approval by RERA
283,2 BHK Apartment in Mantri Webcity,Mantri Developers,Ready to move,"7,599 / sq ft", 72.19 L,950 ,Kuvempu Layout on Hennur Main Road,not approval by RERA
284,3 BHK Apartment in Mantri Webcity,Mantri Developers,Ready to move,"7,427 / sq ft", 92.84 L,1250 ,Kuvempu Layout on Hennur Main Road,not approval by RERA
285,3 BHK Apartment in Mantri Webcity,Mantri Developers,Ready to move,"7,353 / sq ft", 1.06 Cr,1445 ,Kuvempu Layout on Hennur Main Road,not approval by RERA
286,2 BHK Apartment in Mantri Webcity,Mantri Developers,Ready to move,"7,557 / sq ft", 76.32 L,1010 ,Kuvempu Layout on Hennur Main Road,not approval by RERA
287,3 BHK Apartment in Mantri Webcity,Mantri Developers,Ready to move,"7,422 / sq ft", 93.52 L,1260 ,Kuvempu Layout on Hennur Main Road,not approval by RERA
288,3 BHK Apartment in Shravanthi Palladium,SHRAVANTHI SHELTERS,Ready to move,"5,600 / sq ft", 1.16 Cr,2078 ,Talaghattapura,not approval by RERA
289,4 BHK Apartment in Casa Grand Boulevard,Casagrand Builder Private Limited,Under Construction,"4,799 / sq ft", 1.09 Cr,2277 ,Chikkagubbi on Hennur Main Road,approval by RERA
290,4 BHK Apartment in Casa Grand Boulevard,Casagrand Builder Private Limited,Under Construction,"4,799 / sq ft", 1.04 Cr,2181 ,Chikkagubbi on Hennur Main Road,approval by RERA
291,3 BHK Apartment in Casa Grand Boulevard,Casagrand Builder Private Limited,Under Construction,"4,899 / sq ft", 79.36 L,1620 ,Chikkagubbi on Hennur Main Road,approval by RERA
292,2 BHK Apartment in Casa Grand Boulevard,Casagrand Builder Private Limited,Under Construction,"4,799 / sq ft", 59.21 L,1234 ,Chikkagubbi on Hennur Main Road,approval by RERA
293,3 BHK Apartment in Casa Grand Boulevard,Casagrand Builder Private Limited,Under Construction,"4,899 / sq ft", 68.53 L,1399 ,Chikkagubbi on Hennur Main Road,approval by RERA
294,2 BHK Apartment in Navami Vruksha,Navami Builders and Developers,Ready to move,"9,221 / sq ft", 92.21 L,1000 ,Yeshwantpur,not approval by RERA
295,2 BHK Apartment in Navami Vruksha,Navami Builders and Developers,Ready to move,"9,221 / sq ft", 92.12 L,999 ,Yeshwantpur,not approval by RERA
296,3 BHK Apartment in Navami Vruksha,Navami Builders and Developers,Ready to move,"9,055 / sq ft", 1.31 Cr,1452 ,Yeshwantpur,not approval by RERA
297,2 BHK Apartment in Navami Vruksha,Navami Builders and Developers,Ready to move,"9,172 / sq ft", 1.01 Cr,1102 ,Yeshwantpur,not approval by RERA
298,3 BHK Apartment in Navami Vruksha,Navami Builders and Developers,Ready to move,"9,051 / sq ft", 1.32 Cr,1468 ,Yeshwantpur,not approval by RERA
299,3 BHK Apartment in Navami Vruksha,Navami Builders and Developers,Ready to move,"9,052 / sq ft", 1.32 Cr,1466 ,Yeshwantpur,not approval by RERA
300,3 BHK Apartment in Navami Landmaark,Navami Builders and Developers,Under Construction,"7,450 / sq ft", 1.22 Cr,1641 ,RR Nagar,approval by RERA
301,2 BHK Apartment in Navami Landmaark,Navami Builders and Developers,Under Construction,"7,622 / sq ft", 94.52 L,1240 ,RR Nagar,approval by RERA
302,2 BHK Apartment in Navami Landmaark,Navami Builders and Developers,Under Construction,"7,679 / sq ft", 88.15 L,1148 ,RR Nagar,approval by RERA
303,3 BHK Apartment in Navami Landmaark,Navami Builders and Developers,Under Construction,"7,447 / sq ft", 1.23 Cr,1652 ,RR Nagar,approval by RERA
304,2 BHK Apartment in Monarch Aqua,Monarch Properties,Under Construction,"6,340 / sq ft", 70.37 L,1110 ,Krishnarajapura,approval by RERA
305,3 BHK Apartment in Monarch Aqua,Monarch Properties,Under Construction,"6,305 / sq ft", 1.01 Cr,1606 ,Krishnarajapura,approval by RERA
306,2 BHK Apartment in Monarch Aqua,Monarch Properties,Under Construction,"6,391 / sq ft", 80.47 L,1259 ,Krishnarajapura,approval by RERA
307,3 BHK Apartment in Monarch Aqua,Monarch Properties,Under Construction,"6,285 / sq ft", 1.07 Cr,1716 ,Krishnarajapura,approval by RERA
308,3 BHK Apartment in Monarch Aqua,Monarch Properties,Under Construction,"6,204 / sq ft", 98.22 L,1583 ,Krishnarajapura,approval by RERA
309,2 BHK Apartment in Monarch Aqua,Monarch Properties,Under Construction,"6,279 / sq ft", 80.44 L,1281 ,Krishnarajapura,approval by RERA
310,2 BHK Apartment in Monarch Aqua,Monarch Properties,Under Construction,"6,280 / sq ft", 80.38 L,1280 ,Krishnarajapura,approval by RERA
311,2 BHK Apartment in Monarch Aqua,Monarch Properties,Under Construction,"6,406 / sq ft", 77.83 L,1215 ,Krishnarajapura,approval by RERA
312,2 BHK Apartment in Monarch Aqua,Monarch Properties,Under Construction,"6,276 / sq ft", 81.03 L,1291 ,Krishnarajapura,approval by RERA
313,2 BHK Apartment in Meda Heights,Meda Constructions,Under Construction,"7,478 / sq ft", 78.45 L,1049 ,Sarjapur Road Wipro To Railway Crossing,approval by RERA
314,3 BHK Apartment in Meda Heights,Meda Constructions,Under Construction,"7,242 / sq ft", 1.27 Cr,1767 ,Sarjapur Road Wipro To Railway Crossing,approval by RERA
315,1 BHK Apartment in Meda Heights,Meda Constructions,Under Construction,"7,726 / sq ft", 48.21 L,624 ,Sarjapur Road Wipro To Railway Crossing,approval by RERA
316,2 BHK Apartment in Meda Heights,Meda Constructions,Under Construction,"7,497 / sq ft", 82.99 L,1107 ,Sarjapur Road Wipro To Railway Crossing,approval by RERA
317,3 BHK Apartment in Meda Heights,Meda Constructions,Under Construction,"7,269 / sq ft", 1.2 Cr,1662 ,Sarjapur Road Wipro To Railway Crossing,approval by RERA
318,2 BHK Apartment in Meda Heights,Meda Constructions,Under Construction,"7,403 / sq ft", 96.47 L,1303 ,Sarjapur Road Wipro To Railway Crossing,approval by RERA
319,3 BHK Apartment in Meda Heights,Meda Constructions,Under Construction,"7,311 / sq ft", 1.24 Cr,1700 ,Sarjapur Road Wipro To Railway Crossing,approval by RERA
320,2 BHK Apartment in Meda Heights,Meda Constructions,Under Construction,"7,353 / sq ft", 95.44 L,1298 ,Sarjapur Road Wipro To Railway Crossing,approval by RERA
321,2 BHK Apartment in Meda Heights,Meda Constructions,Under Construction,"7,369 / sq ft", 1.02 Cr,1396 ,Sarjapur Road Wipro To Railway Crossing,approval by RERA
322,3 BHK Apartment in Pariwar Pragathi,Pariwar Housing Corporation,Ready to move,"6,000 / sq ft", 81.9 L,1365 ,Gottigere,not approval by RERA
323,3 BHK Apartment in Pariwar Pragathi,Pariwar Housing Corporation,Ready to move,"6,000 / sq ft", 89.7 L,1495 ,Gottigere,not approval by RERA
324,3 BHK Apartment in Pariwar Pragathi,Pariwar Housing Corporation,Ready to move,"6,000 / sq ft", 83.7 L,1395 ,Gottigere,not approval by RERA
325,3 BHK Apartment in Pariwar Pragathi,Pariwar Housing Corporation,Ready to move,"6,000 / sq ft", 87.9 L,1465 ,Gottigere,not approval by RERA
326,2 BHK Apartment in GR Samskruthi,GR Constructions,Under Construction,"4,721 / sq ft", 50.75 L,1075 ,Attibele,approval by RERA
327,3 BHK Apartment in GR Samskruthi,GR Constructions,Under Construction,"4,637 / sq ft", 63.3 L,1365 ,Attibele,approval by RERA
328,3 BHK Apartment in GR Samskruthi,GR Constructions,Under Construction,"4,645 / sq ft", 61.78 L,1330 ,Attibele,approval by RERA
329,2 BHK Apartment in Monarch Aqua,Monarch Properties,Under Construction,"6,394 / sq ft", 79.93 L,1250 ,Krishnarajapura,approval by RERA
330,1 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"9,850 / sq ft", 1.03 Cr,1046 ,Adugodi,not approval by RERA
331,2 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"10,300 / sq ft", 1.48 Cr,1445 ,Adugodi,not approval by RERA
332,2 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"10,300 / sq ft", 1.14 Cr,1114 ,Adugodi,not approval by RERA
333,2 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"9,500 / sq ft", 1.04 Cr,1105 ,Adugodi,not approval by RERA
334,1 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"9,600 / sq ft", 94.84 L,988 ,Adugodi,not approval by RERA
335,2 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"10,200 / sq ft", 1.49 Cr,1470 ,Adugodi,not approval by RERA
336,3 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"10,200 / sq ft", 1.91 Cr,1875 ,Adugodi,not approval by RERA
337,3 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"10,250 / sq ft", 2.16 Cr,2110 ,Adugodi,not approval by RERA
338,2 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"9,500 / sq ft", 1.02 Cr,1083 ,Adugodi,not approval by RERA
339,3 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"10,250 / sq ft", 1.99 Cr,1945 ,Adugodi,not approval by RERA
340,3 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"10,250 / sq ft", 1.96 Cr,1915 ,Adugodi,not approval by RERA
341,2 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"9,500 / sq ft", 1.07 Cr,1127 ,Adugodi,not approval by RERA
342,2 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"9,500 / sq ft", 1.06 Cr,1125 ,Adugodi,not approval by RERA
343,3 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"10,200 / sq ft", 1.89 Cr,1860 ,Adugodi,not approval by RERA
344,2 BHK Apartment in Esteem Splendor,Esteem Group,Ready to move,"10,250 / sq ft", 1.7 Cr,1665 ,Adugodi,not approval by RERA
345,2 BHK Apartment in Casa Grand Casagrand Orlena,Casagrand Builder Private Limited,Under Construction,"5,299 / sq ft", 60.4 L,1140 ,Hennur,approval by RERA
346,3 BHK Apartment in Casa Grand Casagrand Orlena,Casagrand Builder Private Limited,Under Construction,"5,299 / sq ft", 76.88 L,1451 ,Hennur,approval by RERA
347,2 BHK Apartment in Casa Grand Casagrand Orlena,Casagrand Builder Private Limited,Under Construction,"5,299 / sq ft", 64.32 L,1214 ,Hennur,approval by RERA
348,3 BHK Apartment in Casa Grand Casagrand Orlena,Casagrand Builder Private Limited,Under Construction,"5,299 / sq ft", 90.03 L,1699 ,Hennur,approval by RERA
349,3 BHK Apartment in Puravankara Promenade,Puravankara Limited,Under Construction,"8,097 / sq ft", 1.19 Cr,1482 ,Horamavu,approval by RERA
350,2 BHK Apartment in Puravankara Promenade,Puravankara Limited,Under Construction,"8,036 / sq ft", 99 L,1232 ,Horamavu,approval by RERA
351,4 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"6,001 / sq ft", 1.45 Cr,2427 ,Thanisandra,approval by RERA
352,2 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,857 / sq ft", 1.28 Cr,1448 ,Thanisandra,approval by RERA
353,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,604 / sq ft", 1.72 Cr,2004 ,Thanisandra,approval by RERA
